pixel,wavemin,wavemax,wave,line
41.73,7383.99863,7383.98,7383.989315,ArI
85.14,7438.90089,7438.898,7438.899445,Null
124.41,7488.86421,7488.871,7488.8676049999995,NeI
136.16,7503.86898,7503.869,7503.86899,ArI
144.59,7514.65034,7514.652,7514.65117,ArI
161.09,7535.7777,7535.774,7535.77585,NeI
167.52,7544.03062,7544.044,7544.03731,NeI
238.17,7635.11203,7635.106,7635.109015,ArI
306.62,7724.14348,7724.207,7724.1752400000005,ArI
476.46,7948.16271,7948.176,7948.169355,ArI
519.93,8006.16619,8006.157,8006.161595,ArI
526.4,8014.81607,8014.786,8014.801035,ArI
576.82,8082.45696,8082.458,8082.45748,NeI
592.6,8103.70028,8103.693,8103.69664,ArI
601.28,8115.38822,8115.311,8115.349609999999,ArI
616.87,8136.41924,8136.405,8136.41212,NeI
687.22,8231.67775,8231.635,8231.656375,XeI
722.81,8280.1043,8280.117,8280.11065,XeI
737.68,8300.3728,8300.326,8300.3494,NeI
771.65,8346.78547,8346.823,8346.804235,XeI
785.49,8365.73012,8365.747,8365.73856,NeI
794.16,8377.60297,8377.608,8377.605485,NeI
823.87,8418.36369,8418.427,8418.395345,NeI
828.43,8424.63124,8424.648,8424.63962,ArI
856.59,8463.36446,8463.358,8463.36123,NeI
879.78,8495.3247,8495.356,8495.340349999999,NeI
898.68,8521.41512,8521.442,8521.42856,ArI
949.17,8591.26883,8591.258,8591.263415000001,NeI
980.43,8634.64605,8634.647,8634.646525,NeI
994.66,8654.41372,8654.383,8654.39836,NeI
1112.87,8819.34404,8819.411,8819.37752,XeI
1137.51,8853.86653,8853.867,8853.866764999999,NeI
1184.3,8919.54655,8919.501,8919.523775,NeI
1207.55,8952.24577,8952.252,8952.248885,XeI
1273.66,9045.41528,9045.45,9045.432639999999,XeI
1328.58,9123.0249,9122.967,9122.99595,ArI
1346.68,9148.64697,9148.672,9148.659485,NeI
1356.61,9162.70844,9162.65,9162.67922,XeI
1704.29,9657.74126,9657.786,9657.763630000001,ArI
1803.63,9799.72028,9799.7,9799.71014,XeI
1890.01,9923.19018,9923.19,9923.19009,XeI
